UID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,AREA_HA,NARS_NAME,US_L3NAME,date,CHLA,MICX,MICX_ND,mosaic,offset_days,n_inside,n_land,n_cloud,n_below_detection,n_valid,n_water,ci_lake,ci_detected,n_touched,log_ci,log_chla
2020242,NES22-10186,1,5/15/2022,CA,709.9827295,NONE,Southern California Mountains,2022-05-15,71.2,,True,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221352022141.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,79,30.0,2.0,28.0,19.0,47.0,0.02325762693933648,1.0,,-1.6334345999999997,1.8524799936368563
2020259,NES22-10195,1,5/23/2022,AZ,531.6934007,NONE,Arizona/New Mexico Plateau,2022-05-23,7.1,,True,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221422022148.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,58,28.0,0.0,30.0,0.0,30.0,6.500000648917879e-05,0.0,,-4.1870866,0.8512583487190752
2020277,NLA22_NM-10013,1,5/25/2022,NM,148.7981512,STUBBLEFIELD RESERVOIR,Southwestern Tablelands,2022-05-25,2.58,,True,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221422022148.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,15,2.0,1.0,12.0,0.0,12.0,6.500000648917879e-05,0.0,,-4.1870866,0.41161970596323016
2020288,NES22-10123,1,6/1/2022,AR,618.4752077,NONE,Ouachita Mountains,2022-06-01,6.96,0.17,False,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221492022155.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,57,18.0,32.0,7.0,0.0,7.0,6.500000648917879e-05,0.0,,-4.1870866,0.8426092396105621
2020307,NES22-10124,1,6/3/2022,LA,2850.31058,NONE,South Central Plains,2022-06-03,84.8,,True,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221492022155.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,309,26.0,3.0,0.0,280.0,280.0,0.011227612102877545,1.0,,-1.9497125999999998,1.9283958522567137
2020298,NES22-10112,1,6/2/2022,LA,5286.143779,NONE,South Central Plains,2022-06-02,26.6,,True,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221492022155.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,596,262.0,134.0,177.0,23.0,200.0,0.0014850374297406216,1.0,,-2.8282625999999995,1.424881636631067
2020308,NES22-10116,1,6/3/2022,LA,6090.401188,NONE,South Central Plains,2022-06-03,34.7,,True,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221492022155.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,673,38.0,55.0,336.0,244.0,580.0,0.005720544917298125,1.0,,-2.2425625999999994,1.5403294747908738
2020289,NES22-10109,1,6/1/2022,LA,5263.115448,NONE,South Central Plains,2022-06-01,47.2,,True,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221492022155.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,591,79.0,72.0,191.0,249.0,440.0,0.006909321476787905,1.0,,-2.1605646,1.6739419986340878
2020294,NES22-10138,1,6/2/2022,NE,710.9387934,NONE,Western Corn Belt Plains,2022-06-02,34.9,0.27,False,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221492022155.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,80,11.0,2.0,67.0,0.0,67.0,6.500000648917879e-05,0.0,,-4.1870866,1.54282542695918
2020306,NES22-10115,1,6/2/2022,OK,2544.979415,NONE,Arkansas Valley,2022-06-02,25.8,0.25,False,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221492022155.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,285,28.0,24.0,233.0,0.0,233.0,6.500000648917879e-05,0.0,,-4.1870866,1.4116197059632303
2020305,NES22-10122,1,6/3/2022,TX,4354.967644,NONE,Texas Blackland Prairies,2022-06-03,32.0,0.31,False,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221492022155.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,480,2.0,0.0,365.0,113.0,478.0,0.007098219091147282,1.0,,-2.1488506,1.505149978319906
2020333,NLA22_CA-10161,1,6/7/2022,CA,137.750739,LAKE HEMET,Southern California Mountains,2022-06-07,65.1,0.1,False,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221562022162.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,17,1.0,1.0,0.0,15.0,15.0,0.010079323864733893,1.0,,-1.9965685999999998,1.813580988568192
2020376,NLA22_GA-10084,1,6/9/2022,GA,271.125163,GUEST MILLPOND,Southern Coastal Plain,2022-06-09,3.28,,True,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221562022162.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,29,9.0,6.0,14.0,0.0,14.0,6.500000648917879e-05,0.0,,-4.1870866,0.5158738437116791
2020325,NES22-10147,1,6/7/2022,IA,2514.658794,NONE,Western Corn Belt Plains,2022-06-07,0.744,0.15,False,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221562022162.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,287,33.0,43.0,211.0,0.0,211.0,6.500000648917879e-05,0.0,,-4.1870866,-0.1284270644541213
2020269,NLA22_NJ-10023,1,6/8/2022,NJ,127.51283,LAKE MUSCONETCONG,Northeastern Highlands,2022-06-08,6.69,,True,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221562022162.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,13,0.0,7.0,6.0,0.0,6.0,6.500000648917879e-05,0.0,,-4.1870866,0.8254261177678232
2020347,NES22-10189,1,6/8/2022,NV,188.8738587,NONE,Central Basin and Range,2022-06-08,3.38,,True,C:\Users\arikt\Documents\GitHub\HAB_PoC\data-sources\cyan\data\raw\conus_mosaic_weekly\L20221562022162.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m.tif,0,22,8.0,0.0,14.0,0.0,14.0,6.500000648917879e-05,0.0,,-4.1870866,0.5289167002776547
